product_name,price,quantity
VELTIE 8RL WC-PAPERI SOFTWHITE 3KRS,2.95 €,1
"WAU! Pyykinpesuneste 1,5 L Sensitive",2.99 €,1
Coop All-In-1 konetiskitabletti 30 kpl,3.73 €,1
Gourmet 85 g Perle Gravy Delight kanaa ja grillatun kanan makuista kastiketta kissanruoka,0.85 €,1
Gourmet 85g Gold Tonnikala Mousse kissanruoka,0.69 €,1
Best Friend Cattia Paakkuuntuva valkoinen kissanhiekka 5l,5.25 €,1
Dogman Crunchies dental kissanherkut 75g,3.29 €,1
Kotimaista kurkku,1.13 €,1
Coop miniluumutomaatti 250g,1.39 €,1
Kotimaista jääsalaatti 100g Suomi,1.39 €,1
H&H Tuominen sipuli,0.17 €,1
Pesty yleisperuna,0.08 €,1
Kotimaista 300g juureskuutiot,1.69 €,0
Oululainen Pullava Dallaspitko 400g,2.89 €,0
Fazer Jaffa Jim leivoskeksi 300g,2.90 €,0
Vaasan Kauratyynyt 360 g 6 kpl halkaistu kaurasekaleipä,1.49 €,0
Valio Oltermanni® e300 g viipale,3.95 €,0
Korpela Huittisten palvi 380g,3.95 €,0
"Atria Kevyt Nauta-Possu Jauheliha 9,5% 400g",4.45 €,0
Coop Kevyt margariini 40 400 g,0.99 €,0
Kotimaista Ruokakerma 15% UHT laktoositon 2 dl,0.49 €,0
Kotimaista laktoositon pippurikerma 15 % 2 dl UHT,1.35 €,0
Coop Gnocchi kuviopasta 500 g,0.99 €,0
Kotimaista isot vapaan kanan munat L15,3.79 €,0
Kotimaista isot vapaan kanan munat L6,1.55 €,0
Kotimaista laktoositon 1 L rasvaton maitojuoma,1.29 €,0
"Coop Lager olut 4,2 til-% tölkki 0,33 L",1.02 €,0
"24-pack Coop Lager olut 4,2 % tölkki 0,33 L",24.48 €,0
Kulta Katriina Perinteinen suodatinkahvi RAC 500g,8.99 €,0
Xtra vadelmahillo 800 g,3.88 €,0
Oxygenol 75ml Herkkä hammastahna,2.15 €,0
Kotimaista laktoositon kermajäätelö kotipakkaus vanilja 1L/495g,2.45 €,0
